date,citizenship,cat,n,count
2013-10-01,Mexico,t8_repatriations,1,22610
2013-10-01,Mexico,transfers_to_ice,1,1300
2013-10-01,Mexico,transfers_to_hhs,1,60
2013-10-01,Mexico,usbp_releases,1,90
2013-10-01,Mexico,ofo_paroles,1,640
2013-10-01,Mexico,other_outcomes,1,10
2013-10-01,Venezuela,t8_repatriations,1,0
2013-10-01,Venezuela,transfers_to_ice,1,0
2013-10-01,Venezuela,transfers_to_hhs,1,0
2013-10-01,Venezuela,usbp_releases,1,0
2013-10-01,Venezuela,ofo_paroles,1,0
2013-10-01,Venezuela,other_outcomes,1,0
2013-10-01,Guatemala,t8_repatriations,1,2530
2013-10-01,Guatemala,transfers_to_ice,1,1990
2013-10-01,Guatemala,transfers_to_hhs,1,990
2013-10-01,Guatemala,usbp_releases,1,30
2013-10-01,Guatemala,ofo_paroles,1,0
2013-10-01,Guatemala,other_outcomes,1,0
2013-10-01,Honduras,t8_repatriations,1,1580
2013-10-01,Honduras,transfers_to_ice,1,2300
2013-10-01,Honduras,transfers_to_hhs,1,890
2013-10-01,Honduras,usbp_releases,1,30
2013-10-01,Honduras,ofo_paroles,1,0
2013-10-01,Honduras,other_outcomes,1,0
2013-10-01,Colombia,t8_repatriations,1,10
2013-10-01,Colombia,transfers_to_ice,1,10
2013-10-01,Colombia,transfers_to_hhs,1,0
2013-10-01,Colombia,usbp_releases,1,0
2013-10-01,Colombia,ofo_paroles,1,0
2013-10-01,Colombia,other_outcomes,1,0
2013-10-01,Ecuador,t8_repatriations,1,270
2013-10-01,Ecuador,transfers_to_ice,1,140
2013-10-01,Ecuador,transfers_to_hhs,1,80
2013-10-01,Ecuador,usbp_releases,1,0
2013-10-01,Ecuador,ofo_paroles,1,0
2013-10-01,Ecuador,other_outcomes,1,0
2013-10-01,Cuba,t8_repatriations,1,0
2013-10-01,Cuba,transfers_to_ice,1,10
2013-10-01,Cuba,transfers_to_hhs,1,0
2013-10-01,Cuba,usbp_releases,1,0
2013-10-01,Cuba,ofo_paroles,1,1340
2013-10-01,Cuba,other_outcomes,1,0
2013-10-01,Haiti,t8_repatriations,2,785
2013-10-01,Haiti,transfers_to_ice,1,20
2013-10-01,Haiti,transfers_to_hhs,1,0
2013-10-01,Haiti,usbp_releases,1,0
2013-10-01,Haiti,ofo_paroles,1,0
2013-10-01,Haiti,other_outcomes,1,0
2013-10-01,El Salvador,transfers_to_ice,1,1380
2013-10-01,El Salvador,transfers_to_hhs,1,730
2013-10-01,El Salvador,usbp_releases,1,20
2013-10-01,El Salvador,ofo_paroles,1,0
