"","date","encounter_count"
"1",2024-06-01,83536
"2",2024-05-01,117901
"3",2024-04-01,128894
"4",2024-03-01,137473
"5",2024-02-01,140638
"6",2024-01-01,124215
"7",2023-12-01,249741
"8",2023-11-01,191106
"9",2023-10-01,188752
"10",2023-09-01,218763
"11",2023-08-01,181054
"12",2023-07-01,132642
"13",2023-06-01,99538
"14",2023-05-01,171382
"15",2023-04-01,183921
"16",2023-03-01,163672
"17",2023-02-01,130521
"18",2023-01-01,129513
"19",2022-12-01,222018
"20",2022-11-01,207680
"21",2022-10-01,205134
"22",2022-09-01,207597
"23",2022-08-01,181774
"24",2022-07-01,181834
"25",2022-06-01,192399
"26",2022-05-01,224370
"27",2022-04-01,203504
"28",2022-03-01,211181
"29",2022-02-01,159170
"30",2022-01-01,147877
"31",2021-12-01,170602
"32",2021-11-01,167015
"33",2021-10-01,159113
"34",2021-09-01,185515
"35",2021-08-01,196514
"36",2021-07-01,200658
"37",2021-06-01,178649
"38",2021-05-01,172654
"39",2021-04-01,173699
"40",2021-03-01,169216
"41",2021-02-01,97643
"42",2021-01-01,75316
"43",2020-12-01,71141
"44",2020-11-01,69169
"45",2020-10-01,69032
"46",2020-09-01,54771
"47",2020-08-01,47283
"48",2020-07-01,38536
"49",2020-06-01,30836
"50",2020-05-01,21593
"51",2020-04-01,16182
"52",2020-03-01,30389
"53",2020-02-01,30077
"54",2020-01-01,29205
"55",2019-12-01,32853
"56",2019-11-01,33524
"57",2019-10-01,35402
"58",1999-10-01,91410
"59",1999-11-01,76196
"60",1999-12-01,71252
"61",2000-01-01,185979
"62",2000-02-01,211328
"63",2000-03-01,220063
"64",2000-04-01,180050
"65",2000-05-01,166296
"66",2000-06-01,115093
"67",2000-07-01,113956
"68",2000-08-01,114312
"69",2000-09-01,97744
"70",2000-10-01,82632
"71",2000-11-01,67709
"72",2000-12-01,55081
"73",2001-01-01,125090
"74",2001-02-01,152229
"75",2001-03-01,170580
"76",2001-04-01,142813
"77",2001-05-01,122927
"78",2001-06-01,89131
"79",2001-07-01,83602
"80",2001-08-01,84648
"81",2001-09-01,59276
"82",2001-10-01,37812
"83",2001-11-01,32506
"84",2001-12-01,31501
"85",2002-01-01,79793
"86",2002-02-01,95724
"87",2002-03-01,126992
"88",2002-04-01,121921
"89",2002-05-01,97424
"90",2002-06-01,78655
"91",2002-07-01,76661
"92",2002-08-01,82557
"93",2002-09-01,68263
"94",2002-10-01,61792
"95",2002-11-01,47731
"96",2002-12-01,37824
"97",2003-01-01,86925
"98",2003-02-01,96869
"99",2003-03-01,98399
"100",2003-04-01,75359
"101",2003-05-01,88690
"102",2003-06-01,75530
"103",2003-07-01,79284
"104",2003-08-01,84486
"105",2003-09-01,72176
"106",2003-10-01,65391
"107",2003-11-01,57894
"108",2003-12-01,43614
"109",2004-01-01,92521
"110",2004-02-01,110669
"111",2004-03-01,154981
"112",2004-04-01,135468
"113",2004-05-01,118726
"114",2004-06-01,94590
"115",2004-07-01,92165
"116",2004-08-01,93246
"117",2004-09-01,80017
"118",2004-10-01,75913
"119",2004-11-01,65135
"120",2004-12-01,48406
"121",2005-01-01,93020
"122",2005-02-01,113775
"123",2005-03-01,143048
"124",2005-04-01,140062
"125",2005-05-01,115823
"126",2005-06-01,90786
"127",2005-07-01,94954
"128",2005-08-01,96733
"129",2005-09-01,93741
"130",2005-10-01,83557
"131",2005-11-01,70975
"132",2005-12-01,52673
"133",2006-01-01,101195
"134",2006-02-01,125046
"135",2006-03-01,160696
"136",2006-04-01,126538
"137",2006-05-01,105450
"138",2006-06-01,68366
"139",2006-07-01,59641
"140",2006-08-01,59751
"141",2006-09-01,58084
"142",2006-10-01,60713
"143",2006-11-01,51594
"144",2006-12-01,40527
"145",2007-01-01,71934
"146",2007-02-01,79268
"147",2007-03-01,114137
"148",2007-04-01,104465
"149",2007-05-01,88504
"150",2007-06-01,71338
"151",2007-07-01,66782
"152",2007-08-01,59795
"153",2007-09-01,49581
"154",2007-10-01,51339
"155",2007-11-01,42209
"156",2007-12-01,31802
"157",2008-01-01,59028
"158",2008-02-01,73483
"159",2008-03-01,89770
"160",2008-04-01,91566
"161",2008-05-01,69233
"162",2008-06-01,53854
"163",2008-07-01,49472
"164",2008-08-01,48541
"165",2008-09-01,44708
"166",2008-10-01,42938
"167",2008-11-01,32780
"168",2008-12-01,25947
"169",2009-01-01,44502
"170",2009-02-01,49211
"171",2009-03-01,67342
"172",2009-04-01,58493
"173",2009-05-01,50884
"174",2009-06-01,46044
"175",2009-07-01,43843
"176",2009-08-01,43522
"177",2009-09-01,35359
"178",2009-10-01,40890
"179",2009-11-01,32815
"180",2009-12-01,25034
"181",2010-01-01,34784
"182",2010-02-01,42790
"183",2010-03-01,61361
"184",2010-04-01,55237
"185",2010-05-01,47045
"186",2010-06-01,32955
"187",2010-07-01,25609
"188",2010-08-01,26415
"189",2010-09-01,22796
"190",2010-10-01,26165
"191",2010-11-01,22405
"192",2010-12-01,19429
"193",2011-01-01,23926
"194",2011-02-01,28786
"195",2011-03-01,42014
"196",2011-04-01,36251
"197",2011-05-01,31236
