date,citizenship,encounter_count,country_of_entry
2024-11-01,VENEZUELA,8901,PANAMA
2024-11-01,COLOMBIA,394,PANAMA
2024-11-01,ECUADOR,444,PANAMA
2024-11-01,CHINA,82,PANAMA
2024-11-01,HAITI,89,PANAMA
2024-11-01,INDIA,21,PANAMA
2024-11-01,PERU,137,PANAMA
2024-11-01,VIETNAM,11,PANAMA
2024-11-01,BANGLADESH,70,PANAMA
2024-11-01,NEPAL,178,PANAMA
2024-11-01,CHILE,32,PANAMA
2024-11-01,AFGHANISTAN,71,PANAMA
2024-11-01,CAMEROON,105,PANAMA
2024-11-01,ANGOLA,58,PANAMA
2024-11-01,BRAZIL,21,PANAMA
2024-11-01,GHANA,49,PANAMA
2024-11-01,ETHIOPIA,70,PANAMA
2024-11-01,CUBA,43,PANAMA
2024-11-01,TOGO,33,PANAMA
2024-11-01,SOMALIA,24,PANAMA
2024-11-01,PAKISTAN,34,PANAMA
2024-11-01,IRAN,25,PANAMA
2024-11-01,CONGO - BRAZZAVILLE,36,PANAMA
2024-11-01,DOMINICAN REPUBLIC,8,PANAMA
2024-11-01,NIGERIA,19,PANAMA
2024-11-01,ERITREA,16,PANAMA
2024-11-01,SYRIA,16,PANAMA
2024-11-01,BENIN,15,PANAMA
2024-11-01,BURKINA FASO,7,PANAMA
2024-11-01,BOLIVIA,1,PANAMA
2024-11-01,NA,8,PANAMA
2024-11-01,MOROCCO,3,PANAMA
2024-11-01,SUDAN,3,PANAMA
2024-11-01,SRI LANKA,17,PANAMA
2024-11-01,GUINEA,17,PANAMA
2024-11-01,GUYANA,0,PANAMA
2024-11-01,YEMEN,4,PANAMA
2024-11-01,OTHER,82,PANAMA
2024-10-01,VENEZUELA,19522,PANAMA
2024-10-01,COLOMBIA,918,PANAMA
2024-10-01,ECUADOR,507,PANAMA
2024-10-01,CHINA,69,PANAMA
2024-10-01,HAITI,166,PANAMA
2024-10-01,INDIA,108,PANAMA
2024-10-01,PERU,216,PANAMA
2024-10-01,VIETNAM,173,PANAMA
2024-10-01,BANGLADESH,100,PANAMA
2024-10-01,NEPAL,123,PANAMA
2024-10-01,CHILE,55,PANAMA
2024-10-01,AFGHANISTAN,133,PANAMA
2024-10-01,CAMEROON,72,PANAMA
2024-10-01,ANGOLA,57,PANAMA
2024-10-01,BRAZIL,34,PANAMA
2024-10-01,GHANA,38,PANAMA
2024-10-01,ETHIOPIA,77,PANAMA
2024-10-01,CUBA,52,PANAMA
2024-10-01,TOGO,39,PANAMA
2024-10-01,SOMALIA,34,PANAMA
2024-10-01,PAKISTAN,65,PANAMA
2024-10-01,IRAN,45,PANAMA
2024-10-01,CONGO - BRAZZAVILLE,67,PANAMA
2024-10-01,DOMINICAN REPUBLIC,22,PANAMA
2024-10-01,NIGERIA,30,PANAMA
2024-10-01,ERITREA,18,PANAMA
2024-10-01,SYRIA,2,PANAMA
2024-10-01,BENIN,19,PANAMA
2024-10-01,BURKINA FASO,6,PANAMA
2024-10-01,BOLIVIA,7,PANAMA
2024-10-01,NA,11,PANAMA
2024-10-01,MOROCCO,10,PANAMA
2024-10-01,SUDAN,6,PANAMA
2024-10-01,SRI LANKA,13,PANAMA
2024-10-01,GUINEA,16,PANAMA
2024-10-01,GUYANA,0,PANAMA
2024-10-01,YEMEN,18,PANAMA
2024-10-01,OTHER,64,PANAMA
2024-09-01,VENEZUELA,19800,PANAMA
2024-09-01,COLOMBIA,1048,PANAMA
2024-09-01,ECUADOR,582,PANAMA
2024-09-01,CHINA,124,PANAMA
2024-09-01,HAITI,243,PANAMA
2024-09-01,INDIA,92,PANAMA
2024-09-01,PERU,225,PANAMA
2024-09-01,VIETNAM,719,PANAMA
2024-09-01,BANGLADESH,243,PANAMA
2024-09-01,NEPAL,490,PANAMA
2024-09-01,CHILE,64,PANAMA
2024-09-01,AFGHANISTAN,174,PANAMA
2024-09-01,CAMEROON,163,PANAMA
2024-09-01,ANGOLA,122,PANAMA
