citizenship,date,encounter_count,country_of_entry
CANADA,2024-08-01,2,MEXICO
UNITED STATES,2024-08-01,157,MEXICO
BELIZE,2024-08-01,160,MEXICO
COSTA RICA,2024-08-01,222,MEXICO
EL SALVADOR,2024-08-01,7438,MEXICO
GUATEMALA,2024-08-01,5174,MEXICO
HONDURAS,2024-08-01,6404,MEXICO
NICARAGUA,2024-08-01,4586,MEXICO
PANAMA,2024-08-01,434,MEXICO
BAHAMAS,2024-08-01,0,MEXICO
CUBA,2024-08-01,3618,MEXICO
DOMINICAN REPUBLIC,2024-08-01,3156,MEXICO
HAITI,2024-08-01,2948,MEXICO
JAMAICA,2024-08-01,218,MEXICO
TRINIDAD & TOBAGO,2024-08-01,2,MEXICO
ARGENTINA,2024-08-01,46,MEXICO
BOLIVIA,2024-08-01,1563,MEXICO
BRAZIL,2024-08-01,1859,MEXICO
CHILE,2024-08-01,965,MEXICO
COLOMBIA,2024-08-01,7866,MEXICO
ECUADOR,2024-08-01,8801,MEXICO
FRENCH GUIANA,2024-08-01,0,MEXICO
GUYANA,2024-08-01,4,MEXICO
PARAGUAY,2024-08-01,402,MEXICO
PERU,2024-08-01,3132,MEXICO
SURINAME,2024-08-01,1,MEXICO
URUGUAY,2024-08-01,165,MEXICO
VENEZUELA,2024-08-01,26068,MEXICO
ALBANIA,2024-08-01,10,MEXICO
GERMANY,2024-08-01,53,MEXICO
ANDORRA,2024-08-01,0,MEXICO
AUSTRIA,2024-08-01,0,MEXICO
BELGIUM,2024-08-01,0,MEXICO
BELARUS,2024-08-01,0,MEXICO
BOSNIA & HERZEGOVINA,2024-08-01,0,MEXICO
CZECHIA,2024-08-01,0,MEXICO
DENMARK,2024-08-01,0,MEXICO
SLOVAKIA,2024-08-01,0,MEXICO
SLOVENIA,2024-08-01,0,MEXICO
SPAIN,2024-08-01,29,MEXICO
FINLAND,2024-08-01,2,MEXICO
FRANCE,2024-08-01,9,MEXICO
GREECE,2024-08-01,7,MEXICO
HUNGARY,2024-08-01,12,MEXICO
ITALY,2024-08-01,39,MEXICO
LATVIA,2024-08-01,0,MEXICO
MALTA,2024-08-01,1,MEXICO
MOLDOVA,2024-08-01,2,MEXICO
NETHERLANDS,2024-08-01,0,MEXICO
POLAND,2024-08-01,6,MEXICO
PORTUGAL,2024-08-01,1,MEXICO
UNITED KINGDOM,2024-08-01,23,MEXICO
ROMANIA,2024-08-01,31,MEXICO
RUSSIA,2024-08-01,48,MEXICO
SERBIA,2024-08-01,0,MEXICO
SWEDEN,2024-08-01,1,MEXICO
UKRAINE,2024-08-01,7,MEXICO
AFGHANISTAN,2024-08-01,192,MEXICO
SAUDI ARABIA,2024-08-01,3,MEXICO
ARMENIA,2024-08-01,80,MEXICO
AZERBAIJAN,2024-08-01,34,MEXICO
BANGLADESH,2024-08-01,262,MEXICO
CAMBODIA,2024-08-01,1,MEXICO
CHINA,2024-08-01,939,MEXICO
NA,2024-08-01,32,MEXICO
SOUTH KOREA,2024-08-01,1,MEXICO
PHILIPPINES,2024-08-01,0,MEXICO
GEORGIA,2024-08-01,221,MEXICO
INDIA,2024-08-01,1604,MEXICO
INDONESIA,2024-08-01,0,MEXICO
IRAQ,2024-08-01,3,MEXICO
IRAN,2024-08-01,133,MEXICO
ISRAEL,2024-08-01,5,MEXICO
JAPAN,2024-08-01,9,MEXICO
JORDAN,2024-08-01,215,MEXICO
KAZAKHSTAN,2024-08-01,240,MEXICO
KYRGYZSTAN,2024-08-01,98,MEXICO
LEBANON,2024-08-01,0,MEXICO
MALAYSIA,2024-08-01,0,MEXICO
MYANMAR (BURMA),2024-08-01,0,MEXICO
MONGOLIA,2024-08-01,6,MEXICO
NEPAL,2024-08-01,288,MEXICO
PAKISTAN,2024-08-01,34,MEXICO
PALESTINIAN TERRITORIES,2024-08-01,2,MEXICO
SINGAPORE,2024-08-01,0,MEXICO
SYRIA,2024-08-01,30,MEXICO
SRI LANKA,2024-08-01,2,MEXICO
THAILAND,2024-08-01,0,MEXICO
TAIWAN,2024-08-01,1,MEXICO
TAJIKISTAN,2024-08-01,42,MEXICO
