citizenship,date,returns,country_of_entry
CANADA,2018-01-01,0,MEXICO
CANADA,2018-02-01,2,MEXICO
CANADA,2018-03-01,1,MEXICO
CANADA,2018-04-01,0,MEXICO
CANADA,2018-05-01,4,MEXICO
CANADA,2018-06-01,0,MEXICO
CANADA,2018-07-01,0,MEXICO
CANADA,2018-08-01,1,MEXICO
CANADA,2018-09-01,1,MEXICO
CANADA,2018-10-01,0,MEXICO
CANADA,2018-11-01,0,MEXICO
CANADA,2018-12-01,0,MEXICO
UNITED STATES,2018-01-01,144,MEXICO
UNITED STATES,2018-02-01,124,MEXICO
UNITED STATES,2018-03-01,136,MEXICO
UNITED STATES,2018-04-01,151,MEXICO
UNITED STATES,2018-05-01,124,MEXICO
UNITED STATES,2018-06-01,176,MEXICO
UNITED STATES,2018-07-01,150,MEXICO
UNITED STATES,2018-08-01,163,MEXICO
UNITED STATES,2018-09-01,172,MEXICO
UNITED STATES,2018-10-01,188,MEXICO
UNITED STATES,2018-11-01,71,MEXICO
UNITED STATES,2018-12-01,53,MEXICO
BELIZE,2018-01-01,1,MEXICO
BELIZE,2018-02-01,8,MEXICO
BELIZE,2018-03-01,3,MEXICO
BELIZE,2018-04-01,2,MEXICO
BELIZE,2018-05-01,4,MEXICO
BELIZE,2018-06-01,6,MEXICO
BELIZE,2018-07-01,5,MEXICO
BELIZE,2018-08-01,5,MEXICO
BELIZE,2018-09-01,5,MEXICO
BELIZE,2018-10-01,6,MEXICO
BELIZE,2018-11-01,6,MEXICO
BELIZE,2018-12-01,1,MEXICO
COSTA RICA,2018-01-01,0,MEXICO
COSTA RICA,2018-02-01,1,MEXICO
COSTA RICA,2018-03-01,2,MEXICO
COSTA RICA,2018-04-01,1,MEXICO
COSTA RICA,2018-05-01,0,MEXICO
COSTA RICA,2018-06-01,1,MEXICO
COSTA RICA,2018-07-01,3,MEXICO
COSTA RICA,2018-08-01,1,MEXICO
COSTA RICA,2018-09-01,5,MEXICO
COSTA RICA,2018-10-01,0,MEXICO
COSTA RICA,2018-11-01,2,MEXICO
COSTA RICA,2018-12-01,2,MEXICO
EL SALVADOR,2018-01-01,711,MEXICO
EL SALVADOR,2018-02-01,958,MEXICO
EL SALVADOR,2018-03-01,903,MEXICO
EL SALVADOR,2018-04-01,870,MEXICO
EL SALVADOR,2018-05-01,905,MEXICO
EL SALVADOR,2018-06-01,805,MEXICO
EL SALVADOR,2018-07-01,934,MEXICO
EL SALVADOR,2018-08-01,1056,MEXICO
EL SALVADOR,2018-09-01,1135,MEXICO
EL SALVADOR,2018-10-01,1514,MEXICO
EL SALVADOR,2018-11-01,2244,MEXICO
EL SALVADOR,2018-12-01,631,MEXICO
GUATEMALA,2018-01-01,3135,MEXICO
GUATEMALA,2018-02-01,4069,MEXICO
GUATEMALA,2018-03-01,4786,MEXICO
GUATEMALA,2018-04-01,3911,MEXICO
GUATEMALA,2018-05-01,3442,MEXICO
GUATEMALA,2018-06-01,3105,MEXICO
GUATEMALA,2018-07-01,2698,MEXICO
GUATEMALA,2018-08-01,4241,MEXICO
GUATEMALA,2018-09-01,4407,MEXICO
GUATEMALA,2018-10-01,5098,MEXICO
