FY,Month,Encounters
FY 14,OCT,"35,312"
,NOV,"31,896"
,DEC,"29,528"
,JAN,"28,668"
,FEB,"36,403"
,MAR,"49,596"
,APR,"51,502"
,MAY,"60,683"
,JUN,"57,862"
,JUL,"40,708"
,AUG,"31,388"
,SEP,"25,825"
FY 15,OCT,"26,450"
,NOV,"24,641"
,DEC,"25,019"
,JAN,"21,514"
,FEB,"24,376"
,MAR,"29,791"
,APR,"29,750"
,MAY,"31,576"
,JUN,"29,303"
,JUL,"28,388"
,AUG,"30,239"
,SEP,"30,286"
FY 16,OCT,"32,724"
,NOV,"32,838"
,DEC,"37,014"
,JAN,"23,758"
,FEB,"26,072"
,MAR,"33,316"
,APR,"38,089"
,MAY,"40,337"
,JUN,"34,450"
,JUL,"33,723"
,AUG,"37,048"
,SEP,"39,501"
FY 17,OCT,"46,184"
,NOV,"47,211"
,DEC,"43,251"
,JAN,"31,576"
,FEB,"18,754"
,MAR,"12,195"
,APR,"11,127"
,MAY,"14,519"
,JUN,"16,087"
,JUL,"18,187"
,AUG,"22,288"
,SEP,"22,537"
FY 18,OCT,"26,728"
,NOV,"30,408"
,DEC,"30,692"
,JAN,"27,101"
,FEB,"27,874"
,MAR,"39,151"
,APR,"39,873"
,MAY,"42,030"
,JUN,"35,672"
,JUL,"32,986"
,AUG,"39,561"
,SEP,"46,732"
FY 19,OCT,"53,424"
,NOV,"54,566"
,DEC,"53,699"
,JAN ,"50,653"
,FEB,"69,178"
,MAR,"96,111"
,APR,"102,964"
,MAY,"138,190"
,JUN,"98,568"
,JUL,"75,315"
,AUG,"54,578"
,SEP,"43,505"
FY 20,OCT,38317
