AÑO,MES,Count of Encuesta_Public.sav
2021,Diciembre,83950
2021,Noviembre,138222
2021,Octubre,143423
2021,Septiembre,153659
2021,Agosto,131254
2021,Julio,110685
2021,Junio,221398
2021,Mayo,651574
2022,Diciembre,5080
2022,Noviembre,8830
2022,Octubre,7700
2022,Septiembre,8000
2022,Agosto,6189
2022,Julio,4480
2022,Junio,5530
2022,Mayo,208823
2022,Abril,97874
2022,Marzo,126387
2022,Febrero,128571
2022,Enero,122709
2023,Diciembre,991
2023,Noviembre,2719
2023,Septiembre,1868
2023,Agosto,3869
2023,Julio,3664
2023,Junio,2501
2023,Mayo,7185
2023,Abril,6961
2023,Marzo,10
2024,Julio,1132
2024,Junio,1081
2024,Mayo,1772
2024,Abril,1845
2024,Marzo,1908
2024,Febrero,2428
2024,Enero,1725
