date,nationality,visa_class,issuances
2023-06-01,Anguilla,B1/B2,3
2023-06-01,Anguilla,C1/D,1
2023-06-01,Anguilla,F1,1
2023-06-01,Antigua and Barbuda,A2,3
2023-06-01,Antigua and Barbuda,B1/B2,574
2023-06-01,Antigua and Barbuda,C1/D,4
2023-06-01,Antigua and Barbuda,F1,10
2023-06-01,Antigua and Barbuda,F2,1
2023-06-01,Antigua and Barbuda,H1B,5
2023-06-01,Antigua and Barbuda,J1,3
2023-06-01,Antigua and Barbuda,J2,1
2023-06-01,Antigua and Barbuda,K1,1
2023-06-01,Argentina,A1,16
2023-06-01,Argentina,A2,33
2023-06-01,Argentina,A3,1
2023-06-01,Argentina,B1,4
2023-06-01,Argentina,B1/B2,22956
2023-06-01,Argentina,BBBCC,1
2023-06-01,Argentina,C1,9
2023-06-01,Argentina,C1/D,149
2023-06-01,Argentina,C3,1
2023-06-01,Argentina,E1,8
2023-06-01,Argentina,E2,60
2023-06-01,Argentina,F1,356
2023-06-01,Argentina,F2,14
2023-06-01,Argentina,G1,3
2023-06-01,Argentina,G2,4
2023-06-01,Argentina,G4,27
2023-06-01,Argentina,G5,1
2023-06-01,Argentina,H1B,27
2023-06-01,Argentina,H2A,14
2023-06-01,Argentina,H2B,1
2023-06-01,Argentina,H3,2
2023-06-01,Argentina,H4,28
2023-06-01,Argentina,I,12
2023-06-01,Argentina,J1,277
2023-06-01,Argentina,J2,34
2023-06-01,Argentina,K1,2
2023-06-01,Argentina,L1,70
2023-06-01,Argentina,L2,90
2023-06-01,Argentina,M1,11
2023-06-01,Argentina,O1,18
2023-06-01,Argentina,O2,1
2023-06-01,Argentina,O3,14
2023-06-01,Argentina,P1,41
2023-06-01,Argentina,P3,5
2023-06-01,Argentina,P4,13
2023-06-01,Argentina,R1,8
2023-06-01,Argentina,R2,6
2023-06-01,Argentina,U3,1
2023-06-01,"Bahamas, The",A2,9
2023-06-01,"Bahamas, The",B1/B2,1544
2023-06-01,"Bahamas, The",B2,1
2023-06-01,"Bahamas, The",C1,1
2023-06-01,"Bahamas, The",C1/D,10
2023-06-01,"Bahamas, The",C3,4
2023-06-01,"Bahamas, The",E2,1
2023-06-01,"Bahamas, The",F1,124
2023-06-01,"Bahamas, The",F2,3
2023-06-01,"Bahamas, The",G4,1
2023-06-01,"Bahamas, The",H1B,5
2023-06-01,"Bahamas, The",H4,1
2023-06-01,"Bahamas, The",J1,14
2023-06-01,"Bahamas, The",J2,1
2023-06-01,"Bahamas, The",L1,1
2023-06-01,"Bahamas, The",M1,2
2023-06-01,"Bahamas, The",O1,1
2023-06-01,"Bahamas, The",P1,2
2023-06-01,"Bahamas, The",R1,1
2023-06-01,"Bahamas, The",R2,1
2023-06-01,Barbados,A1,1
2023-06-01,Barbados,A2,10
2023-06-01,Barbados,B1/B2,1292
2023-06-01,Barbados,C1,2
2023-06-01,Barbados,C1/D,1
2023-06-01,Barbados,C3,6
2023-06-01,Barbados,F1,14
2023-06-01,Barbados,F2,1
2023-06-01,Barbados,G2,2
2023-06-01,Barbados,G4,1
2023-06-01,Barbados,H1B,1
2023-06-01,Barbados,H2B,11
2023-06-01,Barbados,I,1
2023-06-01,Barbados,J1,23
2023-06-01,Barbados,J2,3
2023-06-01,Barbados,O1,1
2023-06-01,Barbados,O2,1
2023-06-01,Barbados,P1,4
2023-06-01,Belize,A2,10
2023-06-01,Belize,B1/B2,976
2023-06-01,Belize,C1,10
2023-06-01,Belize,C1/D,2
2023-06-01,Belize,C3,24
2023-06-01,Belize,F1,32
2023-06-01,Belize,G4,1
2023-06-01,Belize,H2A,1
2023-06-01,Belize,H2B,1
2023-06-01,Belize,J1,14
2023-06-01,Belize,J2,8
2023-06-01,Belize,M1,1
2023-06-01,Bolivia,A1,1
2023-06-01,Bolivia,A2,1
2023-06-01,Bolivia,B1,7
2023-06-01,Bolivia,B1/B2,2261
2023-06-01,Bolivia,C1,3
2023-06-01,Bolivia,C1/D,17
2023-06-01,Bolivia,E1,4
2023-06-01,Bolivia,F1,70
2023-06-01,Bolivia,F2,1
2023-06-01,Bolivia,G1,10
2023-06-01,Bolivia,G2,7
2023-06-01,Bolivia,G4,21
2023-06-01,Bolivia,H1B,2
2023-06-01,Bolivia,J1,28
2023-06-01,Bolivia,J2,2
2023-06-01,Bolivia,K1,3
2023-06-01,Bolivia,L1,2
2023-06-01,Bolivia,L2,5
2023-06-01,Bolivia,P1,4
2023-06-01,Bolivia,R1,3
2023-06-01,Bolivia,R2,2
2023-06-01,Bolivia,TD,1
2023-06-01,Brazil,A1,22
2023-06-01,Brazil,A2,224
2023-06-01,Brazil,B1,248
2023-06-01,Brazil,B1/B2,88981
2023-06-01,Brazil,B2,1
2023-06-01,Brazil,C1,97
2023-06-01,Brazil,C1/D,390
2023-06-01,Brazil,C3,27
2023-06-01,Brazil,E1,1
2023-06-01,Brazil,E2,9
2023-06-01,Brazil,E3D,1
2023-06-01,Brazil,F1,1641
2023-06-01,Brazil,F2,160
2023-06-01,Brazil,G1,12
2023-06-01,Brazil,G2,27
2023-06-01,Brazil,G4,38
2023-06-01,Brazil,H1B,135
2023-06-01,Brazil,H2A,8
2023-06-01,Brazil,H2B,2
2023-06-01,Brazil,H3,1
2023-06-01,Brazil,H4,107
2023-06-01,Brazil,I,19
2023-06-01,Brazil,J1,1221
2023-06-01,Brazil,J2,271
2023-06-01,Brazil,K1,54
2023-06-01,Brazil,K2,8
2023-06-01,Brazil,L1,404
2023-06-01,Brazil,L2,654
2023-06-01,Brazil,M1,59
2023-06-01,Brazil,M2,7
2023-06-01,Brazil,O1,140
2023-06-01,Brazil,O2,44
2023-06-01,Brazil,O3,69
2023-06-01,Brazil,P1,253
2023-06-01,Brazil,P3,13
2023-06-01,Brazil,P4,13
2023-06-01,Brazil,R1,18
2023-06-01,Brazil,R2,7
2023-06-01,Brazil,TD,4
2023-06-01,Brazil,U1,1
2023-06-01,Brazil,U2,1
2023-06-01,Brazil,U3,1
2023-06-01,British Virgin Islands,B1/B2,2
2023-06-01,Cayman Islands,B1/B2,90
2023-06-01,Cayman Islands,C1,1
2023-06-01,Cayman Islands,C1/D,1
2023-06-01,Cayman Islands,F1,12
2023-06-01,Cayman Islands,F2,1
2023-06-01,Cayman Islands,M1,1
2023-06-01,Chile,A1,1
2023-06-01,Chile,A2,356
2023-06-01,Chile,B1,3
2023-06-01,Chile,B1/B2,298
2023-06-01,Chile,C1,2
2023-06-01,Chile,C1/D,45
2023-06-01,Chile,C3,2
2023-06-01,Chile,E2,18
2023-06-01,Chile,F1,308
2023-06-01,Chile,F2,96
2023-06-01,Chile,G2,6
2023-06-01,Chile,G3,1
2023-06-01,Chile,G4,15
2023-06-01,Chile,H1B,24
2023-06-01,Chile,H1B1,119
2023-06-01,Chile,H2A,15
2023-06-01,Chile,H4,139
2023-06-01,Chile,I,2
2023-06-01,Chile,J1,106
2023-06-01,Chile,J2,44
2023-06-01,Chile,K1,1
2023-06-01,Chile,L1,20
2023-06-01,Chile,L2,58
2023-06-01,Chile,M1,2
2023-06-01,Chile,O1,6
2023-06-01,Chile,O3,9
2023-06-01,Chile,P1,3
2023-06-01,Chile,P3,1
2023-06-01,Chile,R1,5
2023-06-01,Chile,R2,5
2023-06-01,Chile,TD,2
2023-06-01,Colombia,A1,7
2023-06-01,Colombia,A2,552
2023-06-01,Colombia,B1,14
2023-06-01,Colombia,B1/B2,38686
2023-06-01,Colombia,B2,1
2023-06-01,Colombia,BBBCC,1
2023-06-01,Colombia,C1,6
2023-06-01,Colombia,C1/D,278
2023-06-01,Colombia,C2,1
2023-06-01,Colombia,C3,1
2023-06-01,Colombia,E1,9
2023-06-01,Colombia,E2,35
2023-06-01,Colombia,F1,733
2023-06-01,Colombia,F2,72
2023-06-01,Colombia,G1,6
2023-06-01,Colombia,G2,6
2023-06-01,Colombia,G4,68
2023-06-01,Colombia,G5,1
2023-06-01,Colombia,H1B,105
2023-06-01,Colombia,H2A,26
2023-06-01,Colombia,H2B,23
2023-06-01,Colombia,H3,3
2023-06-01,Colombia,H4,42
2023-06-01,Colombia,I,8
2023-06-01,Colombia,J1,1050
2023-06-01,Colombia,J2,174
2023-06-01,Colombia,K1,72
2023-06-01,Colombia,K2,16
2023-06-01,Colombia,L1,49
